زندگی نقد هزار آزارست	هرقدر کم شمری بسیارست
دل جمعی که توان گفت کجاست	غنچه هم یک سر و صد د‌ستارست
به شمار من و ما خرسندیم	چه توان‌کرد نفس بیکارست
اثر سعی کدام آبله‌ پاست	خار این ره مژه خونبارست
خاکساران چمن خرمی‌اند	سبزه و گل به زمین بسیارست
حشن نادیده تماشا دارد	مژه برداشتنت دیوارست
در عدم نیز غباری دارد	خاکم آیینهٔ جوهردارست
پیش پا می‌خورم از الفت دل	بر نفس آینه ناهموارست
نارسایی قفس شکوهٔ کیست	خامشی پیجش صد طومارست
غنجه را خنده و پرواز یکی‌ست	بال ما در گره منقارست
چون جرس کاش به منزل نرسیم	نالهٔ ما ز اثر بیزارست
مرده هم فکر قیامت دارد	آرمیدن چقدر دشوارست
بیدل از صنعت تقدیر مپرس	زلف یاریم و شب ما تارست
